Time,TrueAlt,EstAlt,TrueVel,EstVel,EstAngle,TrueLat,TrueLon,EstLat,EstLon
1.55,101.761,96.5991,129.756,129.769,-4.99282e-05,28.6084,-80.6043,28.6083,-80.6044
1.56,103.067,97.905,130.575,130.59,-0.000951152,28.6084,-80.6043,28.6083,-80.6044
1.57,104.381,99.219,131.394,131.407,-0.00122664,28.6084,-80.6043,28.6083,-80.6044
1.58,105.703,100.541,132.212,132.224,-0.0016067,28.6084,-80.6043,28.6083,-80.6044
1.59,107.033,101.872,133.03,133.04,-0.00247122,28.6084,-80.6043,28.6083,-80.6044
1.6,108.372,102.67,133.847,133.855,-0.00279055,28.6084,-80.6043,28.6083,-80.6044
1.61,109.718,104.016,134.664,134.673,-0.0035589,28.6084,-80.6043,28.6083,-80.6044
1.62,111.073,105.371,135.481,135.491,-0.0035558,28.6084,-80.6043,28.6083,-80.6044
1.63,112.436,106.734,136.297,136.307,-0.0041424,28.6084,-80.6043,28.6083,-80.6044
1.64,113.807,108.106,137.113,137.124,-0.00509731,28.6084,-80.6043,28.6083,-80.6044
1.65,115.186,109.485,137.929,137.94,-0.00562699,28.6084,-80.6043,28.6083,-80.6044
1.66,116.574,110.873,138.744,138.756,-0.00524593,28.6084,-80.6043,28.6083,-80.6044
1.67,117.969,112.268,139.559,139.57,-0.00446875,28.6084,-80.6043,28.6083,-80.6044
1.68,119.373,113.672,140.374,140.386,-0.00394406,28.6084,-80.6043,28.6083,-80.6044
1.69,120.785,115.084,141.188,141.2,-0.00440481,28.6084,-80.6043,28.6083,-80.6044
1.7,122.205,115.949,142.002,142.012,-0.00385111,28.6084,-80.6043,28.6083,-80.6044
1.71,123.633,117.377,142.815,142.824,-0.00477762,28.6084,-80.6043,28.6083,-80.6044
1.72,125.069,118.813,143.628,143.638,-0.00513432,28.6084,-80.6043,28.6083,-80.6044
1.73,126.514,120.258,144.441,144.45,-0.00500361,28.6084,-80.6043,28.6083,-80.6044
1.74,127.966,121.71,145.253,145.262,-0.00511643,28.6084,-80.6043,28.6083,-80.6044
1.75,129.427,123.171,146.065,146.075,-0.00602818,28.6084,-80.6043,28.6083,-80.6044
1.76,130.896,124.64,146.877,146.885,-0.00698515,28.6084,-80.6043,28.6083,-80.6044
1.77,132.373,126.117,147.688,147.698,-0.00684897,28.6084,-80.6043,28.6083,-80.6044
1.78,133.858,127.602,148.499,148.508,-0.00755296,28.6084,-80.6043,28.6083,-80.6044
1.79,135.351,129.095,149.309,149.317,-0.00798815,28.6084,-80.6043,28.6083,-80.6044
1.8,136.852,129.637,150.12,150.129,-0.00793236,28.6084,-80.6043,28.6083,-80.6044
1.81,138.361,131.146,150.929,150.941,-0.00743985,28.6084,-80.6043,28.6083,-80.6044
1.82,139.879,132.664,151.738,151.751,-0.00740069,28.6084,-80.6043,28.6083,-80.6044
1.83,141.404,134.19,152.547,152.56,-0.00820667,28.6084,-80.6043,28.6083,-80.6044
1.84,142.938,135.723,153.356,153.37,-0.00781438,28.6084,-80.6043,28.6083,-80.6044
1.85,144.479,137.265,154.164,154.179,-0.00692924,28.6084,-80.6043,28.6083,-80.6044
1.86,146.029,138.815,154.972,154.989,-0.00610804,28.6084,-80.6043,28.6083,-80.6044
1.87,147.587,140.373,155.779,155.796,-0.00659858,28.6084,-80.6043,28.6083,-80.6044
1.88,149.153,141.939,156.586,156.602,-0.00755148,28.6084,-80.6043,28.6083,-80.6044
1.89,150.727,143.513,157.392,157.409,-0.00714967,28.6084,-80.6043,28.6083,-80.6044
1.9,152.309,144.547,158.198,158.217,-0.00677318,28.6084,-80.6043,28.6083,-80.6044
1.91,153.899,146.137,159.004,159.024,-0.00651408,28.6084,-80.6043,28.6083,-80.6044
1.92,155.497,147.736,159.809,159.828,-0.00709285,28.6084,-80.6043,28.6083,-80.6044
1.93,157.103,149.342,160.614,160.634,-0.0068363,28.6084,-80.6043,28.6083,-80.6044
1.94,158.717,150.956,161.419,161.439,-0.0064117,28.6084,-80.6043,28.6083,-80.6044
1.95,160.339,152.579,162.223,162.241,-0.00657898,28.6084,-80.6043,28.6083,-80.6044
1.96,161.97,154.209,163.026,163.044,-0.00577412,28.6084,-80.6043,28.6083,-80.6044
1.97,163.608,155.848,163.83,163.846,-0.00505983,28.6084,-80.6043,28.6083,-80.6044
1.98,165.254,157.494,164.633,164.649,-0.00540922,28.6084,-80.6043,28.6083,-80.6044
1.99,166.909,159.149,165.435,165.452,-0.00619487,28.6084,-80.6043,28.6083,-80.6044
2,168.571,160.571,166.237,166.253,-0.00601702,28.6084,-80.6043,28.6083,-80.6044
2.01,170.241,162.241,167.038,167.052,-0.00692278,28.6084,-80.6043,28.6083,-80.6044
2.02,171.92,163.92,167.84,167.855,-0.00778682,28.6084,-80.6043,28.6083,-80.6044
2.03,173.606,165.606,168.64,168.658,-0.00753213,28.6084,-80.6043,28.6083,-80.6044
2.04,175.301,167.301,169.44,169.459,-0.00663078,28.6084,-80.6043,28.6083,-80.6044
2.05,177.003,169.003,170.24,170.258,-0.00728885,28.6084,-80.6043,28.6083,-80.6044
2.06,178.713,170.714,171.04,171.056,-0.00821994,28.6084,-80.6043,28.6083,-80.6044
2.07,180.432,172.433,171.839,171.856,-0.00791135,28.6084,-80.6043,28.6083,-80.6044
2.08,182.158,174.159,172.637,172.656,-0.00700051,28.6084,-80.6043,28.6083,-80.6044
2.09,183.892,175.894,173.435,173.452,-0.00783186,28.6084,-80.6043,28.6083,-80.6044
2.1,185.635,176.506,174.233,174.251,-0.00823396,28.6084,-80.6043,28.6083,-80.6044
2.11,187.385,178.257,175.03,175.05,-0.00798545,28.6084,-80.6043,28.6083,-80.6044
2.12,189.143,180.015,175.827,175.848,-0.00823334,28.6084,-80.6043,28.6083,-80.6044
2.13,190.91,181.782,176.623,176.645,-0.00887984,28.6084,-80.6043,28.6083,-80.6044
2.14,192.684,183.556,177.419,177.441,-0.00801351,28.6084,-80.6043,28.6083,-80.6044
2.15,194.466,185.339,178.215,178.235,-0.00759092,28.6084,-80.6043,28.6083,-80.6044
2.16,196.256,187.129,179.01,179.029,-0.00800185,28.6084,-80.6043,28.6083,-80.6044
2.17,198.054,188.927,179.804,179.825,-0.0082654,28.6084,-80.6043,28.6083,-80.6044
2.18,199.86,190.733,180.598,180.618,-0.00870991,28.6084,-80.6043,28.6083,-80.6044
2.19,201.674,192.547,181.392,181.41,-0.00921967,28.6084,-80.6043,28.6083,-80.6044
2.2,203.496,193.44,182.185,182.204,-0.00947044,28.6084,-80.6043,28.6083,-80.6044
2.21,205.326,195.27,182.978,182.996,-0.0101227,28.6084,-80.6043,28.6083,-80.6044
2.22,207.163,197.108,183.77,183.787,-0.010491,28.6084,-80.6043,28.6083,-80.6044
2.23,209.009,198.954,184.562,184.577,-0.0112283,28.6084,-80.6043,28.6083,-80.6044
2.24,210.862,200.807,185.354,185.368,-0.010254,28.6084,-80.6043,28.6083,-80.6044
2.25,212.724,202.669,186.144,186.159,-0.0105707,28.6084,-80.6043,28.6083,-80.6044
2.26,214.593,204.538,186.935,186.948,-0.0114616,28.6084,-80.6043,28.6083,-80.6044
2.27,216.47,206.416,187.725,187.74,-0.0111975,28.6084,-80.6043,28.6083,-80.6044
2.28,218.356,208.301,188.514,188.531,-0.0119851,28.6084,-80.6043,28.6083,-80.6044
2.29,220.249,210.194,189.303,189.318,-0.0113628,28.6084,-80.6043,28.6083,-80.6044
2.3,222.15,211.487,190.092,190.106,-0.0108434,28.6084,-80.6043,28.6083,-80.6044
2.31,224.058,213.396,190.88,190.893,-0.0110233,28.6084,-80.6043,28.6083,-80.6044
2.32,225.975,215.313,191.668,191.68,-0.0101851,28.6084,-80.6043,28.6083,-80.6044
2.33,227.9,217.238,192.455,192.468,-0.00981862,28.6084,-80.6043,28.6083,-80.6044
2.34,229.832,219.17,193.242,193.253,-0.0103737,28.6084,-80.6043,28.6083,-80.6044
2.35,231.772,221.111,194.028,194.038,-0.0102325,28.6084,-80.6043,28.6083,-80.6044
2.36,233.72,223.059,194.814,194.825,-0.010769,28.6084,-80.6043,28.6083,-80.6044
2.37,235.676,225.015,195.599,195.611,-0.0115542,28.6084,-80.6043,28.6083,-80.6044
2.38,237.64,226.979,196.384,196.395,-0.0110289,28.6084,-80.6043,28.6083,-80.6044
2.39,239.612,228.951,197.168,197.179,-0.0113326,28.6084,-80.6043,28.6083,-80.6044
2.4,241.591,230.368,197.952,197.962,-0.0106342,28.6084,-80.6043,28.6083,-80.6044
2.41,243.579,232.355,198.735,198.746,-0.0100768,28.6084,-80.6043,28.6083,-80.6044
2.42,245.574,234.351,199.518,199.527,-0.0108258,28.6084,-80.6043,28.6083,-80.6044
2.43,247.577,236.354,200.301,200.311,-0.0112565,28.6084,-80.6043,28.6083,-80.6044
2.44,249.588,238.365,201.083,201.095,-0.0118266,28.6084,-80.6043,28.6083,-80.6044
2.45,251.606,240.383,201.864,201.875,-0.0127305,28.6084,-80.6043,28.6083,-80.6044
2.46,253.633,242.41,202.645,202.657,-0.0128218,28.6084,-80.6043,28.6083,-80.6044
2.47,255.667,244.444,203.425,203.437,-0.0123045,28.6084,-80.6043,28.6083,-80.6044
2.48,257.709,246.486,204.205,204.216,-0.0128827,28.6084,-80.6043,28.6083,-80.6044
2.49,259.759,248.536,204.985,204.997,-0.0131533,28.6084,-80.6043,28.6083,-80.6044
2.5,261.817,249.64,205.764,205.775,-0.0131666,28.6084,-80.6043,28.6083,-80.6044
2.51,263.882,251.706,206.542,206.552,-0.0139172,28.6084,-80.6043,28.6083,-80.6044
2.52,265.955,253.779,207.32,207.329,-0.0131941,28.6084,-80.6043,28.6083,-80.6044
2.53,268.036,255.86,208.097,208.108,-0.0126516,28.6084,-80.6043,28.6083,-80.6044
2.54,270.125,257.949,208.874,208.884,-0.013491,28.6084,-80.6043,28.6083,-80.6044
2.55,272.222,260.046,209.651,209.661,-0.0128634,28.6084,-80.6043,28.6083,-80.6044
2.56,274.326,262.15,210.427,210.436,-0.0130651,28.6084,-80.6043,28.6083,-80.6044
2.57,276.438,264.262,211.202,211.21,-0.0131584,28.6084,-80.6043,28.6083,-80.6044
2.58,278.558,266.382,211.977,211.984,-0.013489,28.6084,-80.6043,28.6083,-80.6044
2.59,280.685,268.509,212.752,212.758,-0.0134909,28.6084,-80.6043,28.6083,-80.6044
2.6,282.82,269.969,213.526,213.531,-0.0136149,28.6084,-80.6043,28.6083,-80.6044
2.61,284.963,272.112,214.299,214.304,-0.0126836,28.6084,-80.6043,28.6083,-80.6044
2.62,287.114,274.263,215.072,215.075,-0.0117325,28.6084,-80.6043,28.6083,-80.6044
2.63,289.273,276.421,215.844,215.846,-0.0126923,28.6084,-80.6043,28.6083,-80.6044
2.64,291.439,278.587,216.616,216.618,-0.0128017,28.6084,-80.6043,28.6083,-80.6044
2.65,293.613,280.761,217.388,217.389,-0.0128087,28.6084,-80.6043,28.6083,-80.6044
2.66,295.794,282.943,218.158,218.162,-0.0125324,28.6084,-80.6043,28.6083,-80.6044
2.67,297.983,285.132,218.929,218.933,-0.0119177,28.6084,-80.6043,28.6083,-80.6044
2.68,300.18,287.329,219.698,219.703,-0.0118549,28.6084,-80.6043,28.6083,-80.6044
2.69,302.385,289.534,220.468,220.47,-0.0116434,28.6084,-80.6043,28.6083,-80.6044
2.7,304.597,291.401,221.237,221.238,-0.0109816,28.6084,-80.6043,28.6083,-80.6044
2.71,306.818,293.621,222.005,222.008,-0.0102196,28.6084,-80.6043,28.6083,-80.6044
2.72,309.045,295.849,222.773,222.775,-0.00954955,28.6084,-80.6043,28.6083,-80.6044
2.73,311.281,298.085,223.54,223.541,-0.00899571,28.6084,-80.6043,28.6083,-80.6044
