Time,TrueAlt,EstAlt,TrueVel,EstVel,EstAngle,TrueLat,TrueLon,EstLat,EstLon
1.8,136.852,128.135,150.12,150.136,0.00700287,28.6084,-80.6043,28.6084,-80.6044
1.81,138.361,129.644,150.929,150.946,0.0067024,28.6084,-80.6043,28.6084,-80.6044
1.82,139.879,131.162,151.738,151.754,0.00761372,28.6084,-80.6043,28.6084,-80.6044
1.83,141.404,132.688,152.547,152.562,0.00812557,28.6084,-80.6043,28.6084,-80.6044
1.84,142.938,134.221,153.356,153.37,0.00719954,28.6084,-80.6043,28.6084,-80.6044
1.85,144.479,135.763,154.164,154.177,0.00663596,28.6084,-80.6043,28.6084,-80.6044
1.86,146.029,137.313,154.972,154.986,0.00583379,28.6084,-80.6043,28.6084,-80.6044
1.87,147.587,138.871,155.779,155.792,0.00610427,28.6084,-80.6043,28.6084,-80.6044
1.88,149.153,140.437,156.586,156.599,0.00626422,28.6084,-80.6043,28.6084,-80.6044
1.89,150.727,142.011,157.392,157.406,0.00572098,28.6084,-80.6043,28.6084,-80.6044
1.9,152.309,142.672,158.198,158.212,0.00496007,28.6084,-80.6043,28.6084,-80.6044
1.91,153.899,144.262,159.004,159.02,0.00544763,28.6084,-80.6043,28.6084,-80.6044
1.92,155.497,145.86,159.809,159.824,0.00564527,28.6084,-80.6043,28.6084,-80.6044
1.93,157.103,147.467,160.614,160.63,0.00642969,28.6084,-80.6043,28.6084,-80.6044
1.94,158.717,149.081,161.419,161.433,0.00704852,28.6084,-80.6043,28.6084,-80.6044
1.95,160.339,150.703,162.223,162.238,0.00757453,28.6084,-80.6043,28.6084,-80.6044
1.96,161.97,152.334,163.026,163.044,0.00686157,28.6084,-80.6043,28.6084,-80.6044
1.97,163.608,153.972,163.83,163.846,0.00759588,28.6084,-80.6043,28.6084,-80.6044
1.98,165.254,155.619,164.633,164.648,0.00838237,28.6084,-80.6043,28.6084,-80.6044
1.99,166.909,157.273,165.435,165.449,0.00828717,28.6084,-80.6043,28.6084,-80.6044
2,168.571,158.226,166.237,166.25,0.00799114,28.6084,-80.6043,28.6084,-80.6043
2.01,170.241,159.897,167.038,167.05,0.00800093,28.6084,-80.6043,28.6084,-80.6043
2.02,171.92,161.575,167.84,167.851,0.00707806,28.6084,-80.6043,28.6084,-80.6043
2.03,173.606,163.262,168.64,168.652,0.00715618,28.6084,-80.6043,28.6084,-80.6043
2.04,175.301,164.956,169.44,169.451,0.00810785,28.6084,-80.6043,28.6084,-80.6043
2.05,177.003,166.659,170.24,170.25,0.00791056,28.6084,-80.6043,28.6084,-80.6043
2.06,178.713,168.369,171.04,171.049,0.00865872,28.6084,-80.6043,28.6084,-80.6043
2.07,180.432,170.088,171.839,171.847,0.00935061,28.6084,-80.6043,28.6084,-80.6043
2.08,182.158,171.814,172.637,172.647,0.00852525,28.6084,-80.6043,28.6084,-80.6043
2.09,183.892,173.549,173.435,173.445,0.00871522,28.6084,-80.6043,28.6084,-80.6043
2.1,185.635,174.562,174.233,174.242,0.00920779,28.6084,-80.6043,28.6084,-80.6043
2.11,187.385,176.313,175.03,175.039,0.00948685,28.6084,-80.6043,28.6084,-80.6043
2.12,189.143,178.071,175.827,175.836,0.00868415,28.6084,-80.6043,28.6084,-80.6043
2.13,190.91,179.837,176.623,176.634,0.00957994,28.6084,-80.6043,28.6084,-80.6043
2.14,192.684,181.612,177.419,177.429,0.008766,28.6084,-80.6043,28.6084,-80.6043
2.15,194.466,183.394,178.215,178.224,0.0082771,28.6084,-80.6043,28.6084,-80.6043
2.16,196.256,185.184,179.01,179.021,0.00835243,28.6084,-80.6043,28.6084,-80.6043
2.17,198.054,186.982,179.804,179.816,0.00923598,28.6084,-80.6043,28.6084,-80.6043
2.18,199.86,188.788,180.598,180.609,0.00866424,28.6084,-80.6043,28.6084,-80.6043
2.19,201.674,190.602,181.392,181.405,0.00805435,28.6084,-80.6043,28.6084,-80.6043
2.2,203.496,192.067,182.185,182.198,0.00775543,28.6084,-80.6043,28.6084,-80.6043
2.21,205.326,193.897,182.978,182.992,0.00804365,28.6084,-80.6043,28.6084,-80.6043
2.22,207.163,195.735,183.77,183.784,0.00715273,28.6084,-80.6043,28.6084,-80.6043
2.23,209.009,197.58,184.562,184.577,0.00660195,28.6084,-80.6043,28.6084,-80.6043
2.24,210.862,199.434,185.354,185.369,0.00752648,28.6084,-80.6043,28.6084,-80.6043
2.25,212.724,201.296,186.144,186.162,0.0067498,28.6084,-80.6043,28.6084,-80.6043
2.26,214.593,203.165,186.935,186.953,0.00697066,28.6084,-80.6043,28.6084,-80.6043
2.27,216.47,205.043,187.725,187.744,0.00738498,28.6084,-80.6043,28.6084,-80.6043
2.28,218.356,206.928,188.514,188.533,0.00769592,28.6084,-80.6043,28.6084,-80.6043
2.29,220.249,208.821,189.303,189.32,0.00773648,28.6084,-80.6043,28.6084,-80.6043
2.3,222.15,210.054,190.092,190.107,0.00738088,28.6084,-80.6043,28.6084,-80.6043
2.31,224.058,211.963,190.88,190.895,0.00837542,28.6084,-80.6043,28.6084,-80.6043
2.32,225.975,213.879,191.668,191.682,0.0091057,28.6084,-80.6043,28.6084,-80.6043
2.33,227.9,215.804,192.455,192.468,0.00873461,28.6084,-80.6043,28.6084,-80.6043
2.34,229.832,217.737,193.242,193.253,0.00915134,28.6084,-80.6043,28.6084,-80.6043
2.35,231.772,219.677,194.028,194.04,0.00981114,28.6084,-80.6043,28.6084,-80.6043
2.36,233.72,221.625,194.814,194.824,0.00942935,28.6084,-80.6043,28.6084,-80.6043
2.37,235.676,223.581,195.599,195.609,0.00869726,28.6084,-80.6043,28.6084,-80.6043
2.38,237.64,225.545,196.384,196.392,0.0090376,28.6084,-80.6043,28.6084,-80.6043
2.39,239.612,227.517,197.168,197.178,0.00804319,28.6084,-80.6043,28.6084,-80.6043
2.4,241.591,229.099,197.952,197.962,0.00883347,28.6084,-80.6043,28.6084,-80.6043
2.41,243.579,231.086,198.735,198.746,0.0090389,28.6084,-80.6043,28.6084,-80.6043
2.42,245.574,233.081,199.518,199.528,0.00939638,28.6084,-80.6043,28.6084,-80.6043
2.43,247.577,235.085,200.301,200.309,0.00916662,28.6084,-80.6043,28.6084,-80.6043
2.44,249.588,237.095,201.083,201.09,0.00889951,28.6084,-80.6043,28.6084,-80.6043
2.45,251.606,239.114,201.864,201.872,0.00914453,28.6084,-80.6043,28.6084,-80.6043
2.46,253.633,241.141,202.645,202.651,0.0095537,28.6084,-80.6043,28.6084,-80.6043
2.47,255.667,243.175,203.425,203.434,0.0103087,28.6084,-80.6043,28.6084,-80.6043
2.48,257.709,245.217,204.205,204.215,0.00991319,28.6084,-80.6043,28.6084,-80.6043
2.49,259.759,247.267,204.985,204.997,0.0101619,28.6084,-80.6043,28.6084,-80.6043
2.5,261.817,248.502,205.764,205.777,0.0106971,28.6084,-80.6043,28.6084,-80.6043
2.51,263.882,250.567,206.542,206.557,0.0101234,28.6084,-80.6043,28.6084,-80.6043
2.52,265.955,252.641,207.32,207.336,0.00975717,28.6084,-80.6043,28.6084,-80.6043
2.53,268.036,254.722,208.097,208.115,0.00999955,28.6084,-80.6043,28.6084,-80.6043
2.54,270.125,256.811,208.874,208.891,0.0100484,28.6084,-80.6043,28.6084,-80.6043
2.55,272.222,258.907,209.651,209.668,0.0109103,28.6084,-80.6043,28.6084,-80.6043
2.56,274.326,261.012,210.427,210.445,0.0101484,28.6084,-80.6043,28.6084,-80.6043
2.57,276.438,263.124,211.202,211.219,0.0100576,28.6084,-80.6043,28.6084,-80.6043
2.58,278.558,265.244,211.977,211.994,0.0103268,28.6084,-80.6043,28.6084,-80.6043
2.59,280.685,267.372,212.752,212.769,0.0108141,28.6084,-80.6043,28.6084,-80.6043
2.6,282.82,268.721,213.526,213.542,0.0103664,28.6084,-80.6043,28.6084,-80.6043
2.61,284.963,270.864,214.299,214.316,0.00989432,28.6084,-80.6043,28.6084,-80.6043
2.62,287.114,273.015,215.072,215.09,0.0108192,28.6084,-80.6043,28.6084,-80.6043
2.63,289.273,275.174,215.844,215.862,0.0109617,28.6084,-80.6043,28.6084,-80.6043
2.64,291.439,277.34,216.616,216.635,0.0110285,28.6084,-80.6043,28.6084,-80.6043
2.65,293.613,279.514,217.388,217.405,0.0106096,28.6084,-80.6043,28.6084,-80.6043
2.66,295.794,281.696,218.158,218.178,0.0107137,28.6084,-80.6043,28.6084,-80.6043
2.67,297.983,283.885,218.929,218.946,0.00996693,28.6084,-80.6043,28.6084,-80.6043
2.68,300.18,286.082,219.698,219.716,0.0104658,28.6084,-80.6043,28.6084,-80.6043
2.69,302.385,288.287,220.468,220.485,0.0113854,28.6084,-80.6043,28.6084,-80.6043
2.7,304.597,289.493,221.237,221.253,0.0111399,28.6084,-80.6043,28.6084,-80.6043
2.71,306.818,291.713,222.005,222.022,0.0113932,28.6084,-80.6043,28.6084,-80.6043
2.72,309.045,293.941,222.773,222.788,0.0119173,28.6084,-80.6043,28.6084,-80.6043
2.73,311.281,296.176,223.54,223.555,0.0126052,28.6084,-80.6043,28.6084,-80.6043
2.74,313.524,298.42,224.306,224.321,0.0128114,28.6084,-80.6043,28.6084,-80.6043
2.75,315.774,300.67,225.073,225.086,0.012335,28.6084,-80.6043,28.6084,-80.6043
